Political Affiliation,What would you say is the likelihood that your current job will be entirely performed by robots or computers within the next decade?,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?",How many Transformers movies have you seen? ,Do you agree or disagree with the following statement: scientists are generally honest and are serving the public good. ,Do you agree or disagree with the following statement: vaccines are safe and protect children from disease.,"How many books, if any, have you read in the past year?",Do you believe in ghosts?,What percentage of the federal budget would you estimate is spent on scientific research?,"Is federal funding of scientific research too high, too low, or about right?",True or false: the earth is always farther away from the sun in the winter than in the summer.,"If you had to choose: would you rather be smart and sad, or dumb and happy?",Do you think it is acceptable or unacceptable to urinate in the shower?
Democrat,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,4,No,20,Too Low,FALSE,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,20,Yes,20,Too Low,DK/REF,DK/REF,DK/REF
Independent,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,10,No,1,Too Low,FALSE,Smart and Sad,Unacceptable
Republican,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,3,Yes,15,Too Low,TRUE,Dumb and happy,Unacceptable
Democrat,DK/REF,Real but not Caused by People,,DK/REF,DK/REF,1,No,,DK/REF,TRUE,DK/REF,DK/REF
Republican,Unlikely,Not Real At All,5,Somewhat Agree,Strongly Agree,4,Yes,10,Too Low,TRUE,Dumb and happy,Acceptable
Republican,Unlikely,Real and Caused by People,2,Strongly Disagree,Strongly Agree,15,Yes,,Too Low,FALSE,Dumb and happy,Acceptable
DK/REF,Unlikely,Real and Caused by People,5,Strongly Agree,Strongly Agree,5,No,10,Too Low,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,10,No,10,Too Low,FALSE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,40,No,5,Too Low,TRUE,Smart and Sad,Unacceptable
Independent,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,3,No,5,Too Low,TRUE,Dumb and happy,Unacceptable
Republican,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,20,No,10,About Right,FALSE,Dumb and happy,Unacceptable
Democrat,Unlikely,Not Real At All,3,Somewhat Agree,Strongly Agree,15,No,,About Right,TRUE,Dumb and happy,Unacceptable
DK/REF,Unlikely,Real but not Caused by People,5,Neither Agree nor Disagree,Neither Agree nor Disagree,5,No,10,About Right,FALSE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,10,DK/REF,5,DK/REF,FALSE,DK/REF,Unacceptable
Republican,Likely,Real and Caused by People,0,Somewhat Disagree,Strongly Agree,100,Yes,,Too High,TRUE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,15,No,10,Too Low,FALSE,Smart and Sad,DK/REF
DK/REF,Unlikely,Real and Caused by People,4,Somewhat Agree,Strongly Agree,0,No,70,Too Low,FALSE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,4,Strongly Agree,Somewhat Disagree,,Yes,,DK/REF,TRUE,Dumb and happy,Unacceptable
Independent,Likely,Real and Caused by People,3,Strongly Agree,Strongly Agree,0,Yes,95,Too Low,TRUE,Dumb and happy,Acceptable
Republican,Unlikely,Real and Caused by People,,Strongly Disagree,Somewhat Agree,2,Yes,5,Too High,FALSE,DK/REF,Unacceptable
DK/REF,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,200,Yes,45,Too Low,TRUE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,15,Yes,,Too Low,TRUE,Smart and Sad,Unacceptable
Republican,Unlikely,Real but not Caused by People,2,Somewhat Disagree,Strongly Agree,6,No,2,About Right,FALSE,Dumb and happy,Acceptable
DK/REF,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Disagree,90,No,,Too High,FALSE,Smart and Sad,Unacceptable
Independent,Likely,Real and Caused by People,5,Somewhat Disagree,Somewhat Agree,0,Yes,3,Too Low,TRUE,Dumb and happy,Acceptable
Republican,Unlikely,Real and Caused by People,4,Strongly Disagree,Somewhat Disagree,4,Yes,20,Too High,TRUE,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,40,Yes,5,Too Low,FALSE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,5,Yes,3,Too Low,FALSE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,6,No,0,Too Low,FALSE,Dumb and happy,Acceptable
Republican,Unlikely,Real and Caused by People,3,Somewhat Agree,Strongly Agree,15,No,10,About Right,TRUE,Dumb and happy,DK/REF
Independent,DK/REF,DK/REF,0,Somewhat Agree,Strongly Agree,10,No,,About Right,TRUE,Smart and Sad,DK/REF
Independent,Likely,Real and Caused by People,3,Somewhat Disagree,Strongly Disagree,0,Yes,,DK/REF,TRUE,Dumb and happy,Unacceptable
Republican,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,10,No,,DK/REF,TRUE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Agree,0,No,,About Right,DK/REF,DK/REF,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Somewhat Disagree,Strongly Agree,30,No,5,Too Low,FALSE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,15,DK/REF,10,Too Low,FALSE,DK/REF,DK/REF
Republican,Unlikely,Not Real At All,0,Strongly Disagree,Somewhat Agree,8,No,0,Too Low,TRUE,Dumb and happy,Unacceptable
Democrat,Unlikely,Not Real At All,0,Strongly Disagree,Strongly Agree,0,No,5,Too High,FALSE,Dumb and happy,Acceptable
Republican,Unlikely,Real but not Caused by People,1,Strongly Disagree,Strongly Agree,16,Yes,33,About Right,FALSE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,50,Yes,25,Too Low,FALSE,Dumb and happy,Acceptable
Independent,Likely,Real and Caused by People,0,Somewhat Disagree,Somewhat Agree,100,No,50,About Right,FALSE,Dumb and happy,Acceptable
Republican,Unlikely,Real and Caused by People,0,Somewhat Disagree,Strongly Agree,52,Yes,10,Too Low,TRUE,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,0,Somewhat Disagree,DK/REF,10,Yes,,Too High,TRUE,Dumb and happy,Unacceptable
DK/REF,Likely,Real and Caused by People,5,Neither Agree nor Disagree,Neither Agree nor Disagree,0,Yes,,DK/REF,DK/REF,Dumb and happy,DK/REF
Republican,Likely,Not Real At All,0,Somewhat Agree,Somewhat Agree,0,No,,Too High,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,1,Strongly Disagree,Strongly Agree,18,Yes,0,DK/REF,TRUE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,2,Somewhat Agree,Somewhat Agree,2,No,1,About Right,TRUE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,12,Yes,2,DK/REF,TRUE,DK/REF,Unacceptable
DK/REF,Unlikely,Real but not Caused by People,0,Strongly Agree,Strongly Agree,1,No,50,About Right,FALSE,Dumb and happy,Unacceptable
Independent,Unlikely,Real but not Caused by People,2,Strongly Agree,Strongly Agree,6,DK/REF,,About Right,FALSE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real but not Caused by People,1,Strongly Disagree,Strongly Disagree,20,No,50,Too High,TRUE,Dumb and happy,Unacceptable
Democrat,Likely,Real and Caused by People,,Somewhat Agree,Somewhat Agree,20,No,,Too Low,DK/REF,Smart and Sad,Unacceptable
Republican,Likely,Real but not Caused by People,0,Somewhat Disagree,Strongly Agree,3,No,10,About Right,TRUE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,2,Strongly Agree,Somewhat Agree,12,Yes,5,Too Low,FALSE,DK/REF,DK/REF
Republican,Unlikely,Not Real At All,0,Strongly Disagree,Strongly Disagree,12,Yes,,Too High,FALSE,DK/REF,DK/REF
Independent,Unlikely,Real but not Caused by People,0,Strongly Agree,Somewhat Agree,24,No,5,About Right,FALSE,Dumb and happy,Unacceptable
Democrat,DK/REF,DK/REF,0,Neither Agree nor Disagree,DK/REF,0,DK/REF,,Too Low,TRUE,DK/REF,Unacceptable
Republican,Unlikely,Not Real At All,0,Somewhat Disagree,Strongly Agree,1,No,,DK/REF,TRUE,Dumb and happy,Acceptable
DK/REF,Unlikely,Real but not Caused by People,0,Somewhat Agree,Somewhat Agree,2,No,,About Right,TRUE,Dumb and happy,Acceptable
Democrat,Likely,Real and Caused by People,3,Strongly Agree,Strongly Agree,20,No,10,Too Low,TRUE,Smart and Sad,Unacceptable
Independent,Unlikely,Not Real At All,2,Somewhat Disagree,Strongly Agree,2,Yes,15,DK/REF,FALSE,Dumb and happy,Acceptable
DK/REF,DK/REF,DK/REF,0,DK/REF,DK/REF,0,No,,DK/REF,TRUE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,,Yes,3,Too Low,TRUE,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,5,Strongly Agree,Somewhat Agree,50,No,20,Too Low,TRUE,Smart and Sad,Acceptable
Independent,Unlikely,Not Real At All,0,Somewhat Disagree,Somewhat Disagree,50,No,,Too High,TRUE,Dumb and happy,DK/REF
Independent,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,20,No,,About Right,FALSE,DK/REF,Unacceptable
Independent,Likely,Real but not Caused by People,0,DK/REF,Somewhat Agree,,No,,DK/REF,DK/REF,Dumb and happy,Acceptable
Democrat,Likely,DK/REF,0,Somewhat Agree,Strongly Agree,25,No,1,Too Low,DK/REF,Dumb and happy,DK/REF
Independent,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,45,No,10,Too Low,TRUE,Smart and Sad,Unacceptable
Independent,Unlikely,DK/REF,0,Somewhat Agree,Somewhat Agree,20,Yes,5,Too Low,FALSE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,4,Somewhat Agree,Somewhat Agree,15,No,6,DK/REF,TRUE,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,7,No,4,Too Low,TRUE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real and Caused by People,4,Somewhat Agree,Somewhat Disagree,3,No,1,Too Low,FALSE,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,50,No,4,Too Low,FALSE,Smart and Sad,DK/REF
Republican,DK/REF,Real but not Caused by People,,Strongly Disagree,Somewhat Agree,3,Yes,30,Too High,DK/REF,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,4,Strongly Agree,Somewhat Disagree,10,No,1,About Right,TRUE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,1,Strongly Agree,Somewhat Agree,2,No,,DK/REF,TRUE,Smart and Sad,Acceptable
Independent,Likely,Real and Caused by People,0,DK/REF,DK/REF,0,Yes,,DK/REF,TRUE,DK/REF,DK/REF
Independent,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,20,No,5,Too Low,FALSE,Dumb and happy,Unacceptable
Republican,DK/REF,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,4,No,,About Right,DK/REF,DK/REF,Unacceptable
Democrat,Likely,Real and Caused by People,0,Strongly Agree,Strongly Disagree,20,No,30,Too Low,TRUE,Smart and Sad,Unacceptable
Independent,Likely,Real but not Caused by People,4,Somewhat Disagree,Somewhat Agree,3,No,20,About Right,TRUE,Smart and Sad,Unacceptable
DK/REF,Unlikely,Real but not Caused by People,3,Somewhat Disagree,Strongly Agree,7,No,1,Too Low,FALSE,Smart and Sad,Acceptable
Democrat,DK/REF,Not Real At All,0,Somewhat Agree,Somewhat Agree,0,No,0,About Right,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Strongly Agree,5,No,20,About Right,FALSE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,3,No,2,Too Low,FALSE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,0,No,,Too High,TRUE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,0,Somewhat Disagree,DK/REF,3,No,,About Right,FALSE,Smart and Sad,Unacceptable
DK/REF,Unlikely,Real and Caused by People,1,DK/REF,Somewhat Disagree,6,Yes,,Too Low,DK/REF,Dumb and happy,Unacceptable
DK/REF,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Disagree,5,No,20,About Right,FALSE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,40,No,5,Too Low,TRUE,Smart and Sad,Acceptable
Independent,Unlikely,Real and Caused by People,1,Strongly Agree,Somewhat Agree,10,No,,About Right,FALSE,Smart and Sad,Unacceptable
DK/REF,Unlikely,DK/REF,0,Somewhat Agree,Strongly Agree,5,No,,DK/REF,TRUE,Smart and Sad,DK/REF
Independent,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,20,No,15,Too Low,DK/REF,Smart and Sad,Acceptable
Democrat,Likely,Real and Caused by People,3,Somewhat Disagree,Strongly Disagree,15,Yes,75,About Right,FALSE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,80,No,1,Too Low,FALSE,Smart and Sad,Acceptable
Democrat,Likely,Real and Caused by People,2,DK/REF,Strongly Agree,0,Yes,,Too Low,TRUE,Dumb and happy,Unacceptable
Republican,Likely,Real and Caused by People,4,Somewhat Agree,DK/REF,150,Yes,60,Too Low,TRUE,Dumb and happy,Acceptable
Democrat,Likely,Real and Caused by People,0,Strongly Disagree,DK/REF,0,Yes,,DK/REF,TRUE,Smart and Sad,Unacceptable
Republican,Unlikely,Real and Caused by People,0,Strongly Agree,Neither Agree nor Disagree,7,Yes,10,Too Low,TRUE,Smart and Sad,DK/REF
Independent,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,15,Yes,5,Too Low,TRUE,Dumb and happy,Unacceptable
Republican,Unlikely,Real and Caused by People,1,Somewhat Disagree,Strongly Agree,10,No,,Too Low,TRUE,Smart and Sad,Acceptable
Independent,Likely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,10,No,,Too Low,TRUE,Dumb and happy,Unacceptable
DK/REF,Likely,Real and Caused by People,1,DK/REF,DK/REF,200,No,16,About Right,TRUE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real and Caused by People,5,Somewhat Agree,Strongly Agree,1,Yes,10,Too Low,TRUE,Smart and Sad,Acceptable
Independent,Unlikely,Real but not Caused by People,0,Strongly Disagree,Strongly Agree,0,Yes,4,Too High,TRUE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,3,Yes,2,Too Low,FALSE,Smart and Sad,Unacceptable
Independent,Likely,DK/REF,0,Somewhat Disagree,Strongly Agree,100,No,20,Too High,FALSE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real but not Caused by People,0,DK/REF,Somewhat Agree,5,No,,DK/REF,TRUE,DK/REF,DK/REF
DK/REF,Unlikely,DK/REF,2,DK/REF,DK/REF,,No,,DK/REF,FALSE,Smart and Sad,Unacceptable
Republican,Unlikely,DK/REF,0,Neither Agree nor Disagree,Strongly Agree,100,No,3,DK/REF,TRUE,Dumb and happy,Unacceptable
DK/REF,Likely,Not Real At All,5,Somewhat Agree,Somewhat Agree,50,No,5,Too Low,TRUE,DK/REF,Acceptable
Republican,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,5,No,5,About Right,TRUE,Dumb and happy,Unacceptable
Republican,Unlikely,DK/REF,0,Somewhat Agree,Strongly Agree,25,No,40,About Right,TRUE,Dumb and happy,Unacceptable
Republican,Unlikely,DK/REF,3,Somewhat Agree,Strongly Agree,6,No,8,About Right,FALSE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,4,Yes,,Too High,TRUE,Dumb and happy,Unacceptable
DK/REF,Unlikely,Real and Caused by People,0,DK/REF,Strongly Agree,5,Yes,,DK/REF,DK/REF,Dumb and happy,DK/REF
DK/REF,Unlikely,Real but not Caused by People,4,Neither Agree nor Disagree,Strongly Agree,1,Yes,,DK/REF,TRUE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,15,No,40,Too Low,FALSE,Smart and Sad,Acceptable
Republican,Unlikely,Not Real At All,3,Strongly Disagree,Somewhat Disagree,1,No,20,About Right,TRUE,Dumb and happy,Acceptable
DK/REF,Unlikely,Real but not Caused by People,0,Strongly Disagree,Somewhat Agree,5,No,,DK/REF,FALSE,Smart and Sad,Unacceptable
DK/REF,Unlikely,Not Real At All,0,Somewhat Disagree,Strongly Disagree,0,No,,Too High,DK/REF,Dumb and happy,Unacceptable
DK/REF,Unlikely,Not Real At All,5,Somewhat Agree,Strongly Agree,2,No,5,About Right,FALSE,Dumb and happy,Acceptable
Republican,Likely,Not Real At All,3,Somewhat Disagree,Somewhat Disagree,0,No,,DK/REF,FALSE,DK/REF,Unacceptable
Democrat,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,200,Yes,1,Too Low,TRUE,Smart and Sad,Acceptable
Independent,Likely,Real and Caused by People,5,Strongly Agree,Somewhat Agree,1000,Yes,100,About Right,TRUE,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,7,No,5,Too Low,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,Real but not Caused by People,2,Strongly Agree,Somewhat Agree,5,No,15,About Right,TRUE,DK/REF,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,5,No,0.5,Too Low,FALSE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real and Caused by People,,Strongly Agree,Strongly Agree,150,No,,Too Low,FALSE,DK/REF,Unacceptable
Republican,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,1,Yes,18,About Right,TRUE,Dumb and happy,Acceptable
Independent,Likely,Not Real At All,5,Strongly Disagree,Strongly Agree,0,No,20,Too High,TRUE,Dumb and happy,Unacceptable
DK/REF,Likely,Real and Caused by People,3,Strongly Disagree,Strongly Agree,50,Yes,60,Too Low,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,,Strongly Agree,DK/REF,0,Yes,,Too Low,DK/REF,Dumb and happy,Unacceptable
Republican,Unlikely,DK/REF,0,Somewhat Agree,Strongly Agree,1,Yes,6,Too High,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,1,Somewhat Agree,Somewhat Agree,5,No,6,Too Low,FALSE,Dumb and happy,Acceptable
Democrat,Unlikely,Not Real At All,0,Somewhat Disagree,Strongly Agree,0,Yes,,About Right,TRUE,Dumb and happy,Unacceptable
Republican,Unlikely,Not Real At All,4,Strongly Agree,Strongly Agree,0,No,20,About Right,FALSE,Dumb and happy,Unacceptable
DK/REF,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Disagree,30,Yes,85,Too Low,TRUE,DK/REF,Unacceptable
Democrat,Unlikely,Real but not Caused by People,2,Strongly Agree,Strongly Agree,0,No,,About Right,TRUE,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,,Strongly Agree,Strongly Agree,10,No,10,Too Low,FALSE,DK/REF,Unacceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Disagree,1,Yes,75,Too Low,TRUE,Dumb and happy,Acceptable
Independent,Likely,Not Real At All,3,Strongly Agree,Strongly Disagree,200,No,50,About Right,FALSE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Disagree,40,No,5,Too Low,FALSE,Smart and Sad,Unacceptable
Republican,Unlikely,Not Real At All,0,Somewhat Disagree,Strongly Disagree,5,No,,Too High,TRUE,Dumb and happy,Acceptable
Independent,Likely,Real and Caused by People,2,Somewhat Agree,Somewhat Agree,8,Yes,9,Too Low,TRUE,Smart and Sad,Unacceptable
Republican,Unlikely,Not Real At All,5,Strongly Disagree,Strongly Disagree,15,Yes,5,Too High,TRUE,Smart and Sad,Acceptable
Republican,Unlikely,Real and Caused by People,4,Somewhat Agree,Somewhat Agree,1,Yes,30,Too Low,FALSE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,30,No,,Too Low,FALSE,Smart and Sad,Acceptable
Republican,Likely,DK/REF,0,Somewhat Disagree,DK/REF,260,No,20,Too High,DK/REF,Dumb and happy,Acceptable
DK/REF,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,4,Yes,1,Too Low,FALSE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Agree,0,Yes,5,Too Low,FALSE,Smart and Sad,Acceptable
Republican,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,4,Yes,10,About Right,TRUE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,10,Yes,10,About Right,TRUE,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,20,Yes,3,Too Low,FALSE,Smart and Sad,Acceptable
Independent,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,5,No,2,Too Low,TRUE,Dumb and happy,Unacceptable
Republican,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,10,No,3,About Right,FALSE,Smart and Sad,Unacceptable
Republican,Likely,Real but not Caused by People,4,Somewhat Disagree,Somewhat Agree,9,No,57,Too High,FALSE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,250,Yes,2,Too Low,FALSE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,6,No,,Too Low,FALSE,DK/REF,DK/REF
Republican,DK/REF,DK/REF,2,Somewhat Agree,DK/REF,30,No,,About Right,TRUE,Dumb and happy,Acceptable
Independent,Likely,Real but not Caused by People,3,Strongly Agree,Strongly Agree,0,Yes,,About Right,TRUE,Dumb and happy,Acceptable
Independent,Unlikely,Not Real At All,3,Strongly Disagree,Strongly Disagree,0,Yes,0,About Right,TRUE,DK/REF,Unacceptable
Democrat,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,0,Yes,65,Too High,TRUE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real and Caused by People,,Strongly Agree,Strongly Agree,10,No,15,Too Low,TRUE,Smart and Sad,Unacceptable
Republican,Unlikely,Not Real At All,2,Strongly Disagree,Somewhat Disagree,3,No,40,Too High,TRUE,Smart and Sad,Unacceptable
DK/REF,Likely,Real and Caused by People,4,Somewhat Agree,Strongly Agree,12,No,,Too Low,FALSE,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,3,Somewhat Agree,Strongly Agree,2,Yes,,DK/REF,TRUE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,25,No,4,Too Low,FALSE,Smart and Sad,Unacceptable
DK/REF,Likely,Real and Caused by People,5,Strongly Agree,Somewhat Agree,0,No,,About Right,FALSE,Dumb and happy,Acceptable
Independent,Unlikely,Real but not Caused by People,2,Somewhat Disagree,Strongly Agree,5,No,,About Right,TRUE,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,30,No,,Too Low,FALSE,Smart and Sad,Acceptable
Independent,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Disagree,5,No,20,Too Low,FALSE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,10,Yes,5,Too Low,FALSE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,5,No,15,Too Low,TRUE,Smart and Sad,Unacceptable
Independent,DK/REF,Real and Caused by People,1,Strongly Agree,Strongly Agree,10,No,1,Too Low,FALSE,Smart and Sad,Acceptable
Independent,Likely,Not Real At All,1,Somewhat Disagree,Somewhat Disagree,5,Yes,60,Too Low,TRUE,Dumb and happy,Unacceptable
Independent,DK/REF,DK/REF,,DK/REF,DK/REF,0,No,1,DK/REF,DK/REF,Smart and Sad,DK/REF
Democrat,Unlikely,Real and Caused by People,4,Somewhat Agree,Strongly Agree,0,Yes,,Too Low,FALSE,Smart and Sad,Acceptable
Republican,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,0,Yes,,Too Low,TRUE,Dumb and happy,Unacceptable
Independent,Likely,Real and Caused by People,3,Somewhat Agree,Strongly Agree,10,No,2,Too High,FALSE,Smart and Sad,Unacceptable
Independent,Unlikely,Real but not Caused by People,3,Somewhat Agree,Strongly Agree,10,No,1,Too Low,TRUE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,2,Somewhat Agree,Somewhat Agree,200,Yes,,Too Low,FALSE,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,18,No,,Too Low,TRUE,Smart and Sad,Acceptable
Independent,Unlikely,Real and Caused by People,1,Strongly Disagree,Somewhat Disagree,2,Yes,5,About Right,FALSE,Smart and Sad,Acceptable
Independent,Unlikely,Real but not Caused by People,4,DK/REF,DK/REF,20,Yes,25,About Right,TRUE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real but not Caused by People,0,Somewhat Agree,Somewhat Agree,1,Yes,60,About Right,TRUE,Dumb and happy,Acceptable
Democrat,Unlikely,Not Real At All,3,Strongly Agree,Strongly Agree,2,No,30,About Right,FALSE,Smart and Sad,Unacceptable
Republican,Unlikely,Not Real At All,0,Neither Agree nor Disagree,Somewhat Agree,20,Yes,10,About Right,DK/REF,Dumb and happy,Acceptable
Republican,Unlikely,Real but not Caused by People,1,Strongly Agree,Strongly Agree,4,No,2,Too Low,FALSE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,4,No,2,Too Low,TRUE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,60,Yes,15,About Right,FALSE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,20,No,1,Too Low,FALSE,Smart and Sad,Unacceptable
DK/REF,Unlikely,DK/REF,2,Somewhat Agree,Strongly Agree,3,Yes,10,About Right,FALSE,Smart and Sad,Unacceptable
Independent,Likely,Real and Caused by People,2,Somewhat Disagree,Somewhat Agree,1,No,30,Too High,FALSE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,,Strongly Disagree,DK/REF,,Yes,90,Too High,DK/REF,DK/REF,Acceptable
Independent,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Disagree,10,No,,Too Low,FALSE,Dumb and happy,Unacceptable
Independent,Likely,Real and Caused by People,2,Somewhat Agree,Somewhat Agree,7,No,30,About Right,FALSE,Dumb and happy,Acceptable
